,a49,a51,a12,a101,a10,a18,a17,a46,a38,a34,a5,a28,a43,a42,a11,a13,a20,a83,a47,a8,a16,a30,a45,a7,a14,a55,a60
TXN,-0.008710135864967994,-2.1582085135050147e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-6.893919983934294e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.327060692885967e-06,0.0,-0.0,-0.0
QCOM,-0.010331100698106931,-3.2097778522757302e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.870362435708516e-05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.084639175503142e-05,0.0,-0.0,-0.0
AMAT,-0.018820649411304687,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.3330598949532233e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-3.356004265691645e-05,-0.0,-0.0,-0.0
MU,-0.020927810104895844,-0.0,-0.0,0.0025100877468979634,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.135621565045732e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.4711781140161708e-05,0.0,-5.8107900599518055e-05,0.0,-0.0,-0.0
AMGN,-0.004599158142405881,-3.611847986378761e-20,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.1381638852066898e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.4199800997823505e-05,0.0,-0.0,-0.0
INTU,-0.0036916221332185177,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.8764873582411435e-05,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.7220484633923352e-05,0.0,-0.0,-0.0
ISRG,-0.005484328237545444,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.666869468811871e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.8900545398219102e-05,-0.0,0.0,-0.0
CSX,-0.04575664363018749,-0.0008225877407450081,0.0,0.0008120693065084729,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-6.105494066450294e-06,2.31768168397465e-05,0.0,0.0,-0.0,-0.0,-0.0014094718436172284,0.0,0.0,-0.0,-0.0,-1.7944003475056444e-05,-0.0,-0.0,-0.0
VRTX,-0.00410151407194333,-9.889441636059481e-19,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.4013649048415925e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.8721213583515324e-05,-0.0,-0.0,-0.0
JD,-0.014857908922661834,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-6.379745782496628e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.00010968489605739263,0.0,-0.0,-0.0
GILD,-0.01307825673107941,-3.0049971840939366e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-2.8365099477036392e-06,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,7.403679147797125e-06,-0.0,-5.849831974307498e-06,0.0,-0.0,-0.0
BIDU,-0.005241862253551655,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.3912697126207967e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-1.7574552175611016e-05,-0.0,0.0,-0.0
MRVL,-0.03215024620216769,-4.559988896382546e-17,-0.0,0.0009640772552501761,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-2.9079396532578515e-05,2.1584793319935787e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-7.254911518102603e-05,-0.0,-0.0,-0.0
REGN,-0.0020170605760724144,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.7571104707094444e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.768685320898111e-05,0.0,-0.0,0.0
MDLZ,-0.01996291096876653,-5.3539367141321046e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-5.090623635437572e-06,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-8.240836806034726e-06,-0.0,0.0,-0.0
ADSK,-0.005224132493465269,-1.6226048390233367e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.4705653996023434e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.295112987073834e-05,0.0,-0.0,-0.0
